Row: 7, Col: 6, Direction: 1, Word: ABS, Score: 3
Row: 7, Col: 6, Direction: 2, Word: ABS, Score: 3
Row: 6, Col: 7, Direction: 0, Word: ABS, Score: 3
Row: 6, Col: 7, Direction: 2, Word: ABS, Score: 3
Row: 6, Col: 7, Direction: 3, Word: ABS, Score: 3
Row: 7, Col: 7, Direction: 0, Word: TABS, Score: 4
Row: 7, Col: 7, Direction: 1, Word: TABS, Score: 4
Row: 7, Col: 7, Direction: 2, Word: TABS, Score: 4
Row: 8, Col: 7, Direction: 1, Word: ABS, Score: 3
Row: 8, Col: 7, Direction: 2, Word: ABS, Score: 3
Row: 8, Col: 7, Direction: 3, Word: ABS, Score: 3
Row: 6, Col: 8, Direction: 0, Word: ABS, Score: 3
Row: 6, Col: 8, Direction: 2, Word: ABS, Score: 3
Row: 6, Col: 8, Direction: 3, Word: ABS, Score: 3
Row: 8, Col: 8, Direction: 1, Word: ABS, Score: 3
Row: 8, Col: 8, Direction: 2, Word: ABS, Score: 3
Row: 8, Col: 8, Direction: 3, Word: ABS, Score: 3
Row: 6, Col: 9, Direction: 0, Word: ABS, Score: 3
Row: 6, Col: 9, Direction: 1, Word: ARBS, Score: 4
Row: 6, Col: 9, Direction: 2, Word: ABS, Score: 3
Row: 6, Col: 9, Direction: 3, Word: ABS, Score: 3
Row: 8, Col: 9, Direction: 0, Word: ARBS, Score: 4
Row: 8, Col: 9, Direction: 1, Word: ABS, Score: 3
Row: 8, Col: 9, Direction: 2, Word: ABS, Score: 3
Row: 8, Col: 9, Direction: 3, Word: ABS, Score: 3
Row: 7, Col: 10, Direction: 0, Word: ABS, Score: 3
Row: 7, Col: 10, Direction: 1, Word: ABS, Score: 3
Row: 7, Col: 10, Direction: 3, Word: ABS, Score: 3
Row: 7, Col: 7, Direction: 0, Word: TABU, Score: 4
Row: 7, Col: 7, Direction: 1, Word: TABU, Score: 4
Row: 7, Col: 7, Direction: 2, Word: TABU, Score: 4
Row: 3, Col: 9, Direction: 0, Word: LUBRA, Score: 5
Row: 3, Col: 6, Direction: 0, Word: SUBA, Score: 4
Row: 7, Col: 2, Direction: 2, Word: SUBA, Score: 4
Row: 2, Col: 7, Direction: 0, Word: SUBA, Score: 4
Row: 6, Col: 3, Direction: 2, Word: SUBA, Score: 4
Row: 7, Col: 7, Direction: 0, Word: TABUS, Score: 5
Row: 7, Col: 7, Direction: 1, Word: TABUS, Score: 5
Row: 7, Col: 7, Direction: 2, Word: TABUS, Score: 5
Row: 8, Col: 3, Direction: 2, Word: SUBA, Score: 4
Row: 2, Col: 8, Direction: 0, Word: SUBA, Score: 4
Row: 6, Col: 4, Direction: 2, Word: SUBA, Score: 4
Row: 8, Col: 4, Direction: 2, Word: SUBA, Score: 4
Row: 2, Col: 9, Direction: 0, Word: SUBA, Score: 4
Row: 6, Col: 5, Direction: 2, Word: SUBA, Score: 4
Row: 8, Col: 5, Direction: 2, Word: SUBA, Score: 4
Row: 3, Col: 10, Direction: 0, Word: SUBA, Score: 4
Row: 5, Col: 6, Direction: 0, Word: LA, Score: 2
Row: 7, Col: 6, Direction: 1, Word: AL, Score: 2
Row: 7, Col: 4, Direction: 2, Word: LA, Score: 2
Row: 4, Col: 7, Direction: 0, Word: LA, Score: 2
Row: 6, Col: 5, Direction: 2, Word: LA, Score: 2
Row: 6, Col: 7, Direction: 3, Word: AL, Score: 2
Row: 4, Col: 7, Direction: 0, Word: LAT, Score: 3
Row: 7, Col: 4, Direction: 2, Word: LAT, Score: 3
Row: 8, Col: 7, Direction: 1, Word: AL, Score: 2
Row: 8, Col: 5, Direction: 2, Word: LA, Score: 2
Row: 8, Col: 7, Direction: 3, Word: AL, Score: 2
Row: 4, Col: 8, Direction: 0, Word: LA, Score: 2
Row: 6, Col: 6, Direction: 2, Word: LA, Score: 2
Row: 6, Col: 8, Direction: 3, Word: AL, Score: 2
Row: 7, Col: 4, Direction: 2, Word: LATE, Score: 4
Row: 5, Col: 8, Direction: 0, Word: LEA, Score: 3
Row: 8, Col: 8, Direction: 1, Word: AL, Score: 2
Row: 8, Col: 6, Direction: 2, Word: LA, Score: 2
Row: 8, Col: 8, Direction: 3, Word: AL, Score: 2
Row: 4, Col: 9, Direction: 0, Word: LA, Score: 2
Row: 6, Col: 7, Direction: 2, Word: LA, Score: 2
Row: 6, Col: 9, Direction: 3, Word: AL, Score: 2
Row: 4, Col: 9, Direction: 0, Word: LAR, Score: 3
Row: 7, Col: 4, Direction: 2, Word: LATER, Score: 5
Row: 8, Col: 9, Direction: 1, Word: AL, Score: 2
Row: 8, Col: 7, Direction: 2, Word: LA, Score: 2
Row: 8, Col: 9, Direction: 3, Word: AL, Score: 2
Row: 5, Col: 10, Direction: 0, Word: LA, Score: 2
Row: 7, Col: 10, Direction: 1, Word: AL, Score: 2
Row: 7, Col: 10, Direction: 3, Word: AL, Score: 2
Row: 7, Col: 6, Direction: 0, Word: ALB, Score: 3
Row: 7, Col: 6, Direction: 1, Word: ALB, Score: 3
Row: 7, Col: 6, Direction: 2, Word: ALB, Score: 3
Row: 6, Col: 7, Direction: 0, Word: ALB, Score: 3
Row: 6, Col: 7, Direction: 2, Word: ALB, Score: 3
Row: 6, Col: 7, Direction: 3, Word: ALB, Score: 3
Row: 3, Col: 7, Direction: 0, Word: BLAT, Score: 4
Row: 7, Col: 3, Direction: 2, Word: BLAT, Score: 4
Row: 8, Col: 7, Direction: 1, Word: ALB, Score: 3
Row: 8, Col: 7, Direction: 2, Word: ALB, Score: 3
Row: 8, Col: 7, Direction: 3, Word: ALB, Score: 3
Row: 6, Col: 8, Direction: 0, Word: ALB, Score: 3
Row: 6, Col: 8, Direction: 2, Word: ALB, Score: 3
Row: 6, Col: 8, Direction: 3, Word: ALB, Score: 3
Row: 3, Col: 8, Direction: 0, Word: BLAE, Score: 4
Row: 7, Col: 3, Direction: 2, Word: BLATE, Score: 5
Row: 8, Col: 8, Direction: 1, Word: ALB, Score: 3
Row: 8, Col: 8, Direction: 2, Word: ALB, Score: 3
Row: 8, Col: 8, Direction: 3, Word: ALB, Score: 3
Row: 6, Col: 9, Direction: 0, Word: ALB, Score: 3
Row: 6, Col: 9, Direction: 2, Word: ALB, Score: 3
Row: 6, Col: 9, Direction: 3, Word: ALB, Score: 3
Row: 7, Col: 3, Direction: 2, Word: BLATER, Score: 6
Row: 8, Col: 9, Direction: 1, Word: ALB, Score: 3
Row: 8, Col: 9, Direction: 2, Word: ALB, Score: 3
Row: 8, Col: 9, Direction: 3, Word: ALB, Score: 3
Row: 7, Col: 10, Direction: 0, Word: ALB, Score: 3
Row: 7, Col: 10, Direction: 1, Word: ALB, Score: 3
Row: 7, Col: 10, Direction: 3, Word: ALB, Score: 3
Row: 7, Col: 2, Direction: 2, Word: OBLATE, Score: 6
Row: 7, Col: 6, Direction: 0, Word: ALBS, Score: 4
Row: 7, Col: 6, Direction: 1, Word: ALBS, Score: 4
Row: 7, Col: 6, Direction: 2, Word: ALBS, Score: 4
Row: 6, Col: 7, Direction: 0, Word: ALBS, Score: 4
Row: 6, Col: 7, Direction: 2, Word: ALBS, Score: 4
Row: 6, Col: 7, Direction: 3, Word: ALBS, Score: 4
Row: 8, Col: 7, Direction: 1, Word: ALBS, Score: 4
Row: 8, Col: 7, Direction: 2, Word: ALBS, Score: 4
Row: 8, Col: 7, Direction: 3, Word: ALBS, Score: 4
Row: 6, Col: 8, Direction: 0, Word: ALBS, Score: 4
Row: 6, Col: 8, Direction: 2, Word: ALBS, Score: 4
Row: 6, Col: 8, Direction: 3, Word: ALBS, Score: 4
Row: 8, Col: 8, Direction: 1, Word: ALBS, Score: 4
Row: 8, Col: 8, Direction: 2, Word: ALBS, Score: 4
Row: 8, Col: 8, Direction: 3, Word: ALBS, Score: 4
Row: 6, Col: 9, Direction: 0, Word: ALBS, Score: 4
Row: 6, Col: 9, Direction: 2, Word: ALBS, Score: 4
Row: 6, Col: 9, Direction: 3, Word: ALBS, Score: 4
Row: 8, Col: 9, Direction: 1, Word: ALBS, Score: 4
Row: 8, Col: 9, Direction: 2, Word: ALBS, Score: 4
Row: 8, Col: 9, Direction: 3, Word: ALBS, Score: 4
Row: 7, Col: 10, Direction: 0, Word: ALBS, Score: 4
Row: 7, Col: 10, Direction: 1, Word: ALBS, Score: 4
Row: 7, Col: 10, Direction: 3, Word: ALBS, Score: 4
Row: 7, Col: 1, Direction: 2, Word: SUBLATE, Score: 7
Row: 4, Col: 8, Direction: 0, Word: OLEA, Score: 4
Row: 3, Col: 6, Direction: 0, Word: BOLA, Score: 4
Row: 7, Col: 2, Direction: 2, Word: BOLA, Score: 4
Row: 2, Col: 7, Direction: 0, Word: BOLA, Score: 4
Row: 6, Col: 3, Direction: 2, Word: BOLA, Score: 4
Row: 8, Col: 3, Direction: 2, Word: BOLA, Score: 4
Row: 2, Col: 8, Direction: 0, Word: BOLA, Score: 4
Row: 6, Col: 4, Direction: 2, Word: BOLA, Score: 4
Row: 8, Col: 4, Direction: 2, Word: BOLA, Score: 4
Row: 2, Col: 9, Direction: 0, Word: BOLA, Score: 4
Row: 6, Col: 5, Direction: 2, Word: BOLA, Score: 4
Row: 2, Col: 9, Direction: 0, Word: BOLAR, Score: 5
Row: 8, Col: 5, Direction: 2, Word: BOLA, Score: 4
Row: 3, Col: 10, Direction: 0, Word: BOLA, Score: 4
Row: 3, Col: 6, Direction: 0, Word: SOLA, Score: 4
Row: 7, Col: 2, Direction: 2, Word: SOLA, Score: 4
Row: 2, Col: 7, Direction: 0, Word: SOLA, Score: 4
Row: 6, Col: 3, Direction: 2, Word: SOLA, Score: 4
Row: 8, Col: 3, Direction: 2, Word: SOLA, Score: 4
Row: 2, Col: 8, Direction: 0, Word: SOLA, Score: 4
Row: 6, Col: 4, Direction: 2, Word: SOLA, Score: 4
Row: 7, Col: 2, Direction: 2, Word: SOLATE, Score: 6
Row: 8, Col: 4, Direction: 2, Word: SOLA, Score: 4
Row: 2, Col: 9, Direction: 0, Word: SOLA, Score: 4
Row: 6, Col: 5, Direction: 2, Word: SOLA, Score: 4
Row: 2, Col: 9, Direction: 0, Word: SOLAR, Score: 5
Row: 8, Col: 5, Direction: 2, Word: SOLA, Score: 4
Row: 3, Col: 10, Direction: 0, Word: SOLA, Score: 4
Row: 7, Col: 6, Direction: 0, Word: ALS, Score: 3
Row: 7, Col: 6, Direction: 1, Word: ALS, Score: 3
Row: 7, Col: 6, Direction: 2, Word: ALS, Score: 3
Row: 6, Col: 7, Direction: 0, Word: ALS, Score: 3
Row: 6, Col: 7, Direction: 2, Word: ALS, Score: 3
Row: 6, Col: 7, Direction: 3, Word: ALS, Score: 3
Row: 3, Col: 7, Direction: 0, Word: SLAT, Score: 4
Row: 7, Col: 3, Direction: 2, Word: SLAT, Score: 4
Row: 8, Col: 7, Direction: 1, Word: ALS, Score: 3
Row: 8, Col: 7, Direction: 2, Word: ALS, Score: 3
Row: 8, Col: 7, Direction: 3, Word: ALS, Score: 3
Row: 6, Col: 8, Direction: 0, Word: ALS, Score: 3
Row: 6, Col: 8, Direction: 2, Word: ALS, Score: 3
Row: 6, Col: 8, Direction: 3, Word: ALS, Score: 3
Row: 3, Col: 8, Direction: 0, Word: SLAE, Score: 4
Row: 7, Col: 3, Direction: 2, Word: SLATE, Score: 5
Row: 8, Col: 8, Direction: 1, Word: ALS, Score: 3
Row: 8, Col: 8, Direction: 2, Word: ALS, Score: 3
Row: 8, Col: 8, Direction: 3, Word: ALS, Score: 3
Row: 6, Col: 9, Direction: 0, Word: ALS, Score: 3
Row: 6, Col: 9, Direction: 2, Word: ALS, Score: 3
Row: 6, Col: 9, Direction: 3, Word: ALS, Score: 3
Row: 7, Col: 3, Direction: 2, Word: SLATER, Score: 6
Row: 8, Col: 9, Direction: 1, Word: ALS, Score: 3
Row: 8, Col: 9, Direction: 2, Word: ALS, Score: 3
Row: 8, Col: 9, Direction: 3, Word: ALS, Score: 3
Row: 7, Col: 10, Direction: 0, Word: ALS, Score: 3
Row: 7, Col: 10, Direction: 1, Word: ALS, Score: 3
Row: 7, Col: 10, Direction: 3, Word: ALS, Score: 3
Row: 7, Col: 6, Direction: 0, Word: ALSO, Score: 4
Row: 7, Col: 6, Direction: 1, Word: ALSO, Score: 4
Row: 7, Col: 6, Direction: 2, Word: ALSO, Score: 4
Row: 6, Col: 7, Direction: 0, Word: ALSO, Score: 4
Row: 6, Col: 7, Direction: 2, Word: ALSO, Score: 4
Row: 6, Col: 7, Direction: 3, Word: ALSO, Score: 4
Row: 8, Col: 7, Direction: 1, Word: ALSO, Score: 4
Row: 8, Col: 7, Direction: 2, Word: ALSO, Score: 4
Row: 8, Col: 7, Direction: 3, Word: ALSO, Score: 4
Row: 6, Col: 8, Direction: 0, Word: ALSO, Score: 4
Row: 6, Col: 8, Direction: 2, Word: ALSO, Score: 4
Row: 6, Col: 8, Direction: 3, Word: ALSO, Score: 4
Row: 8, Col: 8, Direction: 1, Word: ALSO, Score: 4
Row: 8, Col: 8, Direction: 2, Word: ALSO, Score: 4
Row: 8, Col: 8, Direction: 3, Word: ALSO, Score: 4
Row: 6, Col: 9, Direction: 0, Word: ALSO, Score: 4
Row: 6, Col: 9, Direction: 2, Word: ALSO, Score: 4
Row: 6, Col: 9, Direction: 3, Word: ALSO, Score: 4
Row: 8, Col: 9, Direction: 1, Word: ALSO, Score: 4
Row: 8, Col: 9, Direction: 2, Word: ALSO, Score: 4
Row: 8, Col: 9, Direction: 3, Word: ALSO, Score: 4
Row: 7, Col: 10, Direction: 0, Word: ALSO, Score: 4
Row: 7, Col: 10, Direction: 1, Word: ALSO, Score: 4
Row: 7, Col: 10, Direction: 3, Word: ALSO, Score: 4
Row: 7, Col: 6, Direction: 0, Word: ALU, Score: 3
Row: 7, Col: 6, Direction: 1, Word: ALU, Score: 3
Row: 7, Col: 6, Direction: 2, Word: ALU, Score: 3
Row: 6, Col: 7, Direction: 0, Word: ALU, Score: 3
Row: 6, Col: 7, Direction: 2, Word: ALU, Score: 3
Row: 6, Col: 7, Direction: 3, Word: ALU, Score: 3
Row: 8, Col: 7, Direction: 1, Word: ALU, Score: 3
Row: 8, Col: 7, Direction: 2, Word: ALU, Score: 3
Row: 8, Col: 7, Direction: 3, Word: ALU, Score: 3
Row: 6, Col: 8, Direction: 0, Word: ALU, Score: 3
Row: 6, Col: 8, Direction: 2, Word: ALU, Score: 3
Row: 6, Col: 8, Direction: 3, Word: ALU, Score: 3
Row: 8, Col: 8, Direction: 1, Word: ALU, Score: 3
Row: 8, Col: 8, Direction: 2, Word: ALU, Score: 3
Row: 8, Col: 8, Direction: 3, Word: ALU, Score: 3
Row: 6, Col: 9, Direction: 0, Word: ALU, Score: 3
Row: 6, Col: 9, Direction: 2, Word: ALU, Score: 3
Row: 6, Col: 9, Direction: 3, Word: ALU, Score: 3
Row: 8, Col: 9, Direction: 1, Word: ALU, Score: 3
Row: 8, Col: 9, Direction: 2, Word: ALU, Score: 3
Row: 8, Col: 9, Direction: 3, Word: ALU, Score: 3
Row: 7, Col: 10, Direction: 0, Word: ALU, Score: 3
Row: 7, Col: 10, Direction: 1, Word: ALU, Score: 3
Row: 7, Col: 10, Direction: 3, Word: ALU, Score: 3
Row: 7, Col: 6, Direction: 0, Word: ALUS, Score: 4
